Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Label
31.57,3.5,3.0,0,300,1,0,1,0,1,2,2,4,2,0
34.67,1.08,1.165,0,28,1,1,0,0,0,1,2,4,7,0
31.83,2.5,7.5,0,523,1,1,1,0,1,2,2,4,6,0
44.0,2.0,1.75,2,0,16,1,1,1,1,2,2,4,7,1
34.83,1.25,0.5,0,160,1,0,0,0,1,2,1,8,3,0
43.25,3.0,6.0,11,80,1,1,1,1,0,2,2,8,11,1
23.0,0.625,0.125,0,180,2,1,1,0,0,2,1,4,6,0
56.58,18.5,15.0,17,0,1,1,1,1,1,2,2,5,2,1
23.92,0.585,0.125,0,240,2,1,0,0,0,2,1,8,13,0
32.08,4.0,2.5,0,360,1,1,1,0,1,2,2,4,7,1
43.25,25.21,0.21,1,760,91,1,1,1,0,2,2,8,11,0
37.42,2.04,0.04,0,400,5801,1,1,0,1,2,2,4,9,1
22.0,7.835,0.165,0,184,1,1,0,0,1,2,1,5,3,0
20.08,1.25,0.0,0,0,1,0,0,0,0,2,2,4,8,0
18.42,9.25,1.21,4,60,541,0,1,1,0,2,2,4,11,1
28.33,5.0,11.0,0,70,1,1,1,0,1,2,2,4,9,1
22.92,3.165,0.165,0,160,1059,1,0,0,0,2,1,4,8,0
25.42,0.54,0.165,1,272,445,1,0,1,0,2,2,4,9,0
23.5,2.75,4.5,0,160,26,1,0,0,0,2,2,1,1,0
41.0,2.04,0.125,23,455,1237,0,1,1,1,2,1,8,11,1
18.67,5.0,0.375,2,0,39,1,1,1,0,2,2,4,11,0
30.33,0.5,0.085,0,252,1,1,0,0,1,1,2,8,2,0
19.75,0.75,0.795,5,140,6,0,1,1,1,2,2,4,8,0
28.67,9.335,5.665,6,381,169,1,1,1,0,2,2,8,11,1
54.33,6.75,2.625,11,0,285,1,1,1,1,2,2,8,8,1
23.92,0.665,0.165,0,100,1,1,0,0,0,2,2,4,8,1
32.25,1.5,0.25,0,372,123,0,0,0,1,2,2,4,8,0
